beneficiary_id,fraud_probability,risk_level,death_record_match,aadhaar_verified,location_mismatch,age,risk_factors
B000032,0.0,,0,1,0,58,✓ No major risk factors
B000033,0.0,,0,1,0,25,✓ No major risk factors
B000034,0.1575,LOW,0,0,0,74,⚠️ Aadhaar not verified
B000035,0.0,,0,1,0,27,✓ No major risk factors
B000036,0.42250000000000004,MEDIUM,0,0,1,52,⚠️ Aadhaar not verified | ⚠️ Location mismatch
B000037,0.0,,0,1,0,77,✓ No major risk factors
B000038,0.845,CRITICAL,1,0,0,100,⚠️ Death record found | ⚠️ Aadhaar not verified | ⚠️ Centenarian (100 yrs) | 🚨 High fraud probability
B000039,0.4725,MEDIUM,1,1,0,48,⚠️ Death record found
B000040,0.10750000000000001,LOW,0,1,0,49,✓ No major risk factors
B000041,0.1125,LOW,0,1,0,52,✓ No major risk factors
B000042,0.0,,0,1,0,57,✓ No major risk factors
B000043,0.0,,0,1,0,76,✓ No major risk factors
B000044,0.265,LOW,0,0,0,76,⚠️ Aadhaar not verified
B000045,0.0,,0,1,0,83,✓ No major risk factors
B000046,0.265,LOW,0,0,0,73,⚠️ Aadhaar not verified
B000047,0.0,,0,1,0,86,✓ No major risk factors
B000048,0.4725,MEDIUM,1,1,0,70,⚠️ Death record found
B000049,0.0,,0,1,0,20,✓ No major risk factors
B000050,0.1125,LOW,0,1,0,75,✓ No major risk factors
B000051,0.26,LOW,0,1,1,70,⚠️ Location mismatch
B000052,0.0,,0,1,0,83,✓ No major risk factors
B000053,0.265,LOW,0,0,0,55,⚠️ Aadhaar not verified
B000054,0.1125,LOW,0,1,0,31,✓ No major risk factors
B000055,0.10750000000000001,LOW,0,1,0,60,✓ No major risk factors
B000056,0.10750000000000001,LOW,0,1,0,70,✓ No major risk factors
B000057,0.0,,0,1,0,47,✓ No major risk factors
B000058,0.31750000000000006,MEDIUM,0,1,0,120,⚠️ Centenarian (120 yrs)
B000059,0.0,,0,1,0,70,✓ No major risk factors
B000060,0.0,,0,1,0,62,✓ No major risk factors
B000061,0.0,,0,1,0,56,✓ No major risk factors
B000062,0.6825,HIGH,1,1,0,116,⚠️ Death record found | ⚠️ Centenarian (116 yrs)
B000063,0.10750000000000001,LOW,0,1,0,58,✓ No major risk factors
B000064,0.1575,LOW,0,0,0,80,⚠️ Aadhaar not verified
B000065,0.10750000000000001,LOW,0,1,0,57,✓ No major risk factors
B000066,0.265,LOW,0,0,0,54,⚠️ Aadhaar not verified
B000067,0.10750000000000001,LOW,0,1,0,55,✓ No major risk factors
B000068,0.63,HIGH,1,0,0,82,⚠️ Death record found | ⚠️ Aadhaar not verified
B000069,0.0,,0,1,0,60,✓ No major risk factors
B000070,0.265,LOW,0,0,0,61,⚠️ Aadhaar not verified
B000071,0.0,,0,1,0,58,✓ No major risk factors
B000072,0.365,MEDIUM,1,1,0,74,⚠️ Death record found
B000073,0.0,,0,1,0,32,✓ No major risk factors
B000074,0.1575,LOW,0,0,0,69,⚠️ Aadhaar not verified
B000075,0.10750000000000001,LOW,0,1,0,24,✓ No major risk factors
B000076,0.4725,MEDIUM,1,1,0,75,⚠️ Death record found
B000077,0.0,,0,1,0,31,✓ No major risk factors
B000078,0.1575,LOW,0,0,0,73,⚠️ Aadhaar not verified
B000079,0.4725,MEDIUM,1,1,0,37,⚠️ Death record found
B000080,0.005000000000000001,LOW,0,1,0,60,✓ No major risk factors
B000081,0.0,,0,1,0,41,✓ No major risk factors
B000082,0.4725,MEDIUM,1,1,0,71,⚠️ Death record found
B000083,0.26,LOW,0,1,1,76,⚠️ Location mismatch
B000084,0.63,HIGH,1,0,0,72,⚠️ Death record found | ⚠️ Aadhaar not verified
B000085,0.4725,MEDIUM,1,1,0,66,⚠️ Death record found
B000086,0.1575,LOW,0,0,0,65,⚠️ Aadhaar not verified
B000087,0.4725,MEDIUM,1,1,0,74,⚠️ Death record found
B000088,0.0,,0,1,0,56,✓ No major risk factors
B000089,0.1125,LOW,0,1,0,69,✓ No major risk factors
B000090,0.10750000000000001,LOW,0,1,0,24,✓ No major risk factors
B000091,0.0,,0,1,0,75,✓ No major risk factors
B000092,0.10750000000000001,LOW,0,1,0,47,✓ No major risk factors
B000093,0.5225,MEDIUM,1,0,0,71,⚠️ Death record found | ⚠️ Aadhaar not verified
B000094,0.0,,0,1,0,55,✓ No major risk factors
B000095,0.21000000000000002,LOW,0,1,0,100,⚠️ Centenarian (100 yrs)
B000096,0.1575,LOW,0,0,0,79,⚠️ Aadhaar not verified
B000097,0.10750000000000001,LOW,0,1,0,61,✓ No major risk factors
B000098,0.10750000000000001,LOW,0,1,0,30,✓ No major risk factors
B000099,0.0,,0,1,0,78,✓ No major risk factors
B000100,0.1575,LOW,0,0,0,72,⚠️ Aadhaar not verified
B000101,0.0,,0,1,0,51,✓ No major risk factors
B000102,0.0,,0,1,0,58,✓ No major risk factors
B000103,0.0,,0,1,0,73,✓ No major risk factors
B000104,0.0,,0,1,0,25,✓ No major risk factors
B000105,0.10750000000000001,LOW,0,1,0,29,✓ No major risk factors
B000106,0.10750000000000001,LOW,0,1,0,30,✓ No major risk factors
B000107,0.265,LOW,0,0,0,56,⚠️ Aadhaar not verified
B000108,0.10750000000000001,LOW,0,1,0,91,✓ No major risk factors
B000109,0.0,,0,1,0,58,✓ No major risk factors
B000110,0.0,,0,1,0,79,✓ No major risk factors
B000111,0.1575,LOW,0,0,0,72,⚠️ Aadhaar not verified
B000112,0.0,,0,1,0,20,✓ No major risk factors
B000113,0.265,LOW,0,0,0,72,⚠️ Aadhaar not verified
B000114,0.7324999999999999,HIGH,1,0,0,107,⚠️ Death record found | ⚠️ Aadhaar not verified | ⚠️ Centenarian (107 yrs)
B000115,0.10750000000000001,LOW,0,1,0,80,✓ No major risk factors
B000116,0.0,,0,1,0,20,✓ No major risk factors
B000117,0.0,,0,1,0,71,✓ No major risk factors
B000118,0.63,HIGH,1,0,0,53,⚠️ Death record found | ⚠️ Aadhaar not verified
B000119,0.265,LOW,0,0,0,65,⚠️ Aadhaar not verified
B000120,0.0,,0,1,0,46,✓ No major risk factors
B000121,0.0,,0,1,0,60,✓ No major risk factors
B000122,0.0,,0,1,0,49,✓ No major risk factors
B000123,0.265,LOW,0,1,1,51,⚠️ Location mismatch
B000124,0.0,,0,1,0,65,✓ No major risk factors
B000125,0.0,,0,1,0,69,✓ No major risk factors
B000126,0.0,,0,1,0,71,✓ No major risk factors
B000127,0.10750000000000001,LOW,0,1,0,65,✓ No major risk factors
B000128,0.265,LOW,0,0,0,49,⚠️ Aadhaar not verified
B000129,0.0,,0,1,0,68,✓ No major risk factors
B000130,0.63,HIGH,1,0,0,52,⚠️ Death record found | ⚠️ Aadhaar not verified
B000131,0.63,HIGH,1,0,0,63,⚠️ Death record found | ⚠️ Aadhaar not verified
B000132,0.1575,LOW,0,0,0,73,⚠️ Aadhaar not verified
B000133,0.265,LOW,0,0,0,55,⚠️ Aadhaar not verified
B000134,0.265,LOW,0,0,0,75,⚠️ Aadhaar not verified
B000135,0.21000000000000002,LOW,0,1,0,106,⚠️ Centenarian (106 yrs)
B000136,0.0,,0,1,0,79,✓ No major risk factors
B000137,0.10750000000000001,LOW,0,1,0,81,✓ No major risk factors
B000138,0.10750000000000001,LOW,0,1,0,60,✓ No major risk factors
B000139,0.26,LOW,0,1,1,39,⚠️ Location mismatch
B000140,0.0,,0,1,0,38,✓ No major risk factors
B000141,0.10750000000000001,LOW,0,1,0,53,✓ No major risk factors
B000142,0.4725,MEDIUM,1,1,0,76,⚠️ Death record found
B000143,0.265,LOW,0,0,0,52,⚠️ Aadhaar not verified
B000144,0.10750000000000001,LOW,0,1,0,72,✓ No major risk factors
B000145,0.27,LOW,0,0,0,77,⚠️ Aadhaar not verified
B000146,0.3675,MEDIUM,0,1,1,84,⚠️ Location mismatch
B000147,0.41750000000000004,MEDIUM,0,0,1,57,⚠️ Aadhaar not verified | ⚠️ Location mismatch
B000148,0.0,,0,1,0,73,✓ No major risk factors
B000149,0.1575,LOW,0,0,0,77,⚠️ Aadhaar not verified
B000150,0.1575,LOW,0,0,0,86,⚠️ Aadhaar not verified
B000151,0.635,HIGH,1,0,0,53,⚠️ Death record found | ⚠️ Aadhaar not verified
B000152,0.10750000000000001,LOW,0,1,0,41,✓ No major risk factors
B000153,0.10750000000000001,LOW,0,1,0,91,✓ No major risk factors
B000154,0.0,,0,1,0,55,✓ No major risk factors
B000155,0.0,,0,1,0,47,✓ No major risk factors
B000156,0.63,HIGH,1,0,0,56,⚠️ Death record found | ⚠️ Aadhaar not verified
B000157,0.3675,MEDIUM,0,1,1,82,⚠️ Location mismatch
B000158,0.0,,0,1,0,35,✓ No major risk factors
B000159,0.0,,0,1,0,65,✓ No major risk factors
B000160,0.10750000000000001,LOW,0,1,0,79,✓ No major risk factors
B000161,0.0,,0,1,0,64,✓ No major risk factors
B000162,0.0,,0,1,0,77,✓ No major risk factors
B000163,0.0,,0,1,0,74,✓ No major risk factors
B000164,0.0,,0,1,0,57,✓ No major risk factors
B000165,0.4725,MEDIUM,1,1,0,76,⚠️ Death record found
B000166,0.0,,0,1,0,35,✓ No major risk factors
B000167,0.0,,0,1,0,50,✓ No major risk factors
B000168,0.265,LOW,0,0,0,73,⚠️ Aadhaar not verified
B000169,0.1575,LOW,0,0,0,77,⚠️ Aadhaar not verified
B000170,0.3675,MEDIUM,0,1,1,64,⚠️ Location mismatch
B000171,0.1125,LOW,0,1,0,27,✓ No major risk factors
B000172,0.10750000000000001,LOW,0,1,0,29,✓ No major risk factors
B000173,0.0,,0,1,0,78,✓ No major risk factors
B000174,0.27,LOW,0,0,0,75,⚠️ Aadhaar not verified
B000175,0.0,,0,1,0,52,✓ No major risk factors
B000176,0.10750000000000001,LOW,0,1,0,68,✓ No major risk factors
B000177,0.26,LOW,0,1,1,46,⚠️ Location mismatch
B000178,0.0,,0,1,0,56,✓ No major risk factors
B000179,0.63,HIGH,1,0,0,79,⚠️ Death record found | ⚠️ Aadhaar not verified
B000180,0.0,,0,1,0,61,✓ No major risk factors
B000181,0.0,,0,1,0,96,✓ No major risk factors
B000182,0.0,,0,1,0,54,✓ No major risk factors
B000183,0.0,,0,1,0,78,✓ No major risk factors
B000184,0.63,HIGH,1,0,0,49,⚠️ Death record found | ⚠️ Aadhaar not verified
B000185,0.1125,LOW,0,1,0,68,✓ No major risk factors
B000186,0.0,,0,1,0,68,✓ No major risk factors
B000187,0.1125,LOW,0,1,0,78,✓ No major risk factors
B000188,0.1575,LOW,0,0,0,48,⚠️ Aadhaar not verified
B000189,0.10750000000000001,LOW,0,1,0,82,✓ No major risk factors
B000190,0.26,LOW,0,1,1,89,⚠️ Location mismatch
B000191,0.3675,MEDIUM,0,1,1,33,⚠️ Location mismatch
B000192,0.005000000000000001,LOW,0,1,0,49,✓ No major risk factors
B000193,0.0,,0,1,0,73,✓ No major risk factors
B000194,0.10750000000000001,LOW,0,1,0,59,✓ No major risk factors
B000195,0.4775,MEDIUM,1,1,0,65,⚠️ Death record found
B000196,0.005000000000000001,LOW,0,1,0,45,✓ No major risk factors
B000197,0.0,,0,1,0,93,✓ No major risk factors
B000198,0.0,,0,1,0,72,✓ No major risk factors
B000199,0.10750000000000001,LOW,0,1,0,66,✓ No major risk factors
B000200,0.0,,0,1,0,50,✓ No major risk factors
B000201,0.0,,0,1,0,62,✓ No major risk factors
B000202,0.0,,0,1,0,81,✓ No major risk factors
B000203,0.0,,0,1,0,91,✓ No major risk factors
B000204,0.0,,0,1,0,63,✓ No major risk factors
B000205,0.3675,MEDIUM,0,1,1,59,⚠️ Location mismatch
B000206,0.1575,LOW,0,0,0,69,⚠️ Aadhaar not verified
B000207,0.005000000000000001,LOW,0,1,0,74,✓ No major risk factors
B000208,0.0,,0,1,0,54,✓ No major risk factors
B000209,0.0,,0,1,0,60,✓ No major risk factors
B000210,0.63,HIGH,1,0,0,93,⚠️ Death record found | ⚠️ Aadhaar not verified
B000211,0.3725,MEDIUM,0,0,0,105,⚠️ Aadhaar not verified | ⚠️ Centenarian (105 yrs)
B000212,0.0,,0,1,0,45,✓ No major risk factors
B000213,0.0,,0,1,0,51,✓ No major risk factors
B000214,0.0,,0,1,0,24,✓ No major risk factors
B000215,0.0,,0,1,0,97,✓ No major risk factors
B000216,0.005000000000000001,LOW,0,1,0,39,✓ No major risk factors
B000217,0.0,,0,1,0,78,✓ No major risk factors
B000218,0.0,,0,1,0,19,✓ No major risk factors
B000219,0.635,HIGH,1,0,0,68,⚠️ Death record found | ⚠️ Aadhaar not verified
B000220,0.0,,0,1,0,56,✓ No major risk factors
B000221,0.10750000000000001,LOW,0,1,0,46,✓ No major risk factors
B000222,0.0,,0,1,0,85,✓ No major risk factors
B000223,0.0,,0,1,0,48,✓ No major risk factors
B000224,0.0,,0,1,0,78,✓ No major risk factors
B000225,0.0,,0,1,0,48,✓ No major risk factors
B000226,0.4725,MEDIUM,1,1,0,24,⚠️ Death record found
B000227,0.0,,0,1,0,65,✓ No major risk factors
B000228,0.0,,0,1,0,72,✓ No major risk factors
B000229,0.265,LOW,0,0,0,39,⚠️ Aadhaar not verified
B000230,0.0,,0,1,0,48,✓ No major risk factors
B000231,0.0,,0,1,0,31,✓ No major risk factors
B000232,0.1575,LOW,0,0,0,79,⚠️ Aadhaar not verified
B000233,0.63,HIGH,1,0,0,99,⚠️ Death record found | ⚠️ Aadhaar not verified
B000234,0.0,,0,1,0,28,✓ No major risk factors
B000235,0.475,MEDIUM,0,0,0,108,⚠️ Aadhaar not verified | ⚠️ Centenarian (108 yrs)
B000236,0.0,,0,1,0,68,✓ No major risk factors
B000237,0.265,LOW,0,0,0,57,⚠️ Aadhaar not verified
B000238,0.0,,0,1,0,71,✓ No major risk factors
B000239,0.0,,0,1,0,70,✓ No major risk factors
B000240,0.0,,0,1,0,77,✓ No major risk factors
B000241,0.84,CRITICAL,1,0,0,112,⚠️ Death record found | ⚠️ Aadhaar not verified | ⚠️ Centenarian (112 yrs) | 🚨 High fraud probability
B000242,0.32250000000000006,MEDIUM,0,1,0,100,⚠️ Centenarian (100 yrs)
B000243,0.10750000000000001,LOW,0,1,0,53,✓ No major risk factors
B000244,0.1575,LOW,0,0,0,26,⚠️ Aadhaar not verified
B000245,0.1125,LOW,0,1,0,64,✓ No major risk factors
B000246,0.265,LOW,0,0,0,47,⚠️ Aadhaar not verified
B000247,0.63,HIGH,1,0,0,47,⚠️ Death record found | ⚠️ Aadhaar not verified
B000248,0.10750000000000001,LOW,0,1,0,77,✓ No major risk factors
B000249,0.10750000000000001,LOW,0,1,0,64,✓ No major risk factors
B000250,0.0,,0,1,0,68,✓ No major risk factors
B000251,0.4725,MEDIUM,1,1,0,72,⚠️ Death record found
B000252,0.365,MEDIUM,1,1,0,46,⚠️ Death record found
B000253,0.0,,0,1,0,79,✓ No major risk factors
B000254,0.0,,0,1,0,21,✓ No major risk factors
B000255,0.0,,0,1,0,44,✓ No major risk factors
B000256,0.0,,0,1,0,57,✓ No major risk factors
B000257,0.0,,0,1,0,76,✓ No major risk factors
B000258,0.1625,LOW,0,0,0,58,⚠️ Aadhaar not verified
B000259,0.27,LOW,0,0,0,66,⚠️ Aadhaar not verified
B000260,0.1125,LOW,0,1,0,53,✓ No major risk factors
B000261,0.0,,0,1,0,56,✓ No major risk factors
B000262,0.10750000000000001,LOW,0,1,0,33,✓ No major risk factors
B000263,0.10750000000000001,LOW,0,1,0,73,✓ No major risk factors
B000264,0.4725,MEDIUM,1,1,0,39,⚠️ Death record found
B000265,0.10750000000000001,LOW,0,1,0,93,✓ No major risk factors
B000266,0.0,,0,1,0,72,✓ No major risk factors
B000267,0.0,,0,1,0,72,✓ No major risk factors
B000268,0.265,LOW,0,0,0,63,⚠️ Aadhaar not verified
B000269,0.10750000000000001,LOW,0,1,0,77,✓ No major risk factors
B000270,0.005000000000000001,LOW,0,1,0,66,✓ No major risk factors
B000271,0.10750000000000001,LOW,0,1,0,66,✓ No major risk factors
B000272,0.265,LOW,0,0,0,47,⚠️ Aadhaar not verified
B000273,0.10750000000000001,LOW,0,1,0,80,✓ No major risk factors
B000274,0.0,,0,1,0,19,✓ No major risk factors
B000275,0.10750000000000001,LOW,0,1,0,76,✓ No major risk factors
B000276,0.10750000000000001,LOW,0,1,0,57,✓ No major risk factors
B000277,0.10750000000000001,LOW,0,1,0,65,✓ No major risk factors
B000278,0.27,LOW,0,0,0,74,⚠️ Aadhaar not verified
B000279,0.0,,0,1,0,52,✓ No major risk factors
B000280,0.26,LOW,0,1,1,56,⚠️ Location mismatch
B000281,0.10750000000000001,LOW,0,1,0,39,✓ No major risk factors
B000282,0.3675,MEDIUM,0,1,1,48,⚠️ Location mismatch
B000283,0.1575,LOW,0,0,0,80,⚠️ Aadhaar not verified
B000284,0.4725,MEDIUM,1,1,0,57,⚠️ Death record found
B000285,0.4725,MEDIUM,1,1,0,39,⚠️ Death record found
B000286,0.265,LOW,0,0,0,64,⚠️ Aadhaar not verified
B000287,0.4725,MEDIUM,1,1,0,41,⚠️ Death record found
B000288,0.10750000000000001,LOW,0,1,0,77,✓ No major risk factors
B000289,0.265,LOW,0,0,0,68,⚠️ Aadhaar not verified
B000290,0.0,,0,1,0,78,✓ No major risk factors
B000291,0.10750000000000001,LOW,0,1,0,54,✓ No major risk factors
B000292,0.005000000000000001,LOW,0,1,0,70,✓ No major risk factors
B000293,0.63,HIGH,1,0,0,61,⚠️ Death record found | ⚠️ Aadhaar not verified
B000294,0.0,,0,1,0,73,✓ No major risk factors
B000295,0.1575,LOW,0,0,0,23,⚠️ Aadhaar not verified
B000296,0.3675,MEDIUM,0,0,0,116,⚠️ Aadhaar not verified | ⚠️ Centenarian (116 yrs)
B000297,0.10750000000000001,LOW,0,1,0,58,✓ No major risk factors
B000298,0.895,CRITICAL,1,0,1,67,⚠️ Death record found | ⚠️ Aadhaar not verified | ⚠️ Location mismatch | 🚨 High fraud probability
B000299,0.1575,LOW,0,0,0,72,⚠️ Aadhaar not verified
B000300,0.0,,0,1,0,52,✓ No major risk factors
B000301,0.10750000000000001,LOW,0,1,0,70,✓ No major risk factors
B000302,0.27,LOW,0,0,0,70,⚠️ Aadhaar not verified
B000303,0.0,,0,1,0,56,✓ No major risk factors
B000304,0.0,,0,1,0,57,✓ No major risk factors
B000305,0.0,,0,1,0,62,✓ No major risk factors
B000306,0.10750000000000001,LOW,0,1,0,58,✓ No major risk factors
B000307,0.0,,0,1,0,52,✓ No major risk factors
B000308,0.10750000000000001,LOW,0,1,0,75,✓ No major risk factors
B000309,0.1125,LOW,0,1,0,58,✓ No major risk factors
B000310,0.005000000000000001,LOW,0,1,0,63,✓ No major risk factors
B000311,0.0,,0,1,0,87,✓ No major risk factors
B000312,0.0,,0,1,0,56,✓ No major risk factors
B000313,0.0,,0,1,0,72,✓ No major risk factors
B000314,0.0,,0,1,0,72,✓ No major risk factors
B000315,0.0,,0,1,0,57,✓ No major risk factors
B000316,0.0,,0,1,0,50,✓ No major risk factors
B000317,0.265,LOW,0,0,0,21,⚠️ Aadhaar not verified
B000318,0.0,,0,1,0,21,✓ No major risk factors
B000319,0.1575,LOW,0,0,0,93,⚠️ Aadhaar not verified
B000320,0.0,,0,1,0,55,✓ No major risk factors
B000321,0.10750000000000001,LOW,0,1,0,25,✓ No major risk factors
B000322,0.0,,0,1,0,67,✓ No major risk factors
B000323,0.27,LOW,0,0,0,39,⚠️ Aadhaar not verified
B000324,0.0,,0,1,0,75,✓ No major risk factors
B000325,0.0,,0,1,0,44,✓ No major risk factors
B000326,0.0,,0,1,0,74,✓ No major risk factors
B000327,0.0,,0,1,0,78,✓ No major risk factors
B000328,0.7324999999999999,HIGH,1,1,1,60,⚠️ Death record found | ⚠️ Location mismatch
B000329,0.0,,0,1,0,56,✓ No major risk factors
B000330,0.26,LOW,0,1,1,33,⚠️ Location mismatch
B000331,0.10750000000000001,LOW,0,1,0,49,✓ No major risk factors
B000332,0.10750000000000001,LOW,0,1,0,87,✓ No major risk factors
B000333,0.4725,MEDIUM,1,1,0,71,⚠️ Death record found
B000334,0.3725,MEDIUM,0,0,0,112,⚠️ Aadhaar not verified | ⚠️ Centenarian (112 yrs)
B000335,0.0,,0,1,0,74,✓ No major risk factors
B000336,0.10750000000000001,LOW,0,1,0,62,✓ No major risk factors
B000337,0.0,,0,1,0,78,✓ No major risk factors
B000338,0.10750000000000001,LOW,0,1,0,49,✓ No major risk factors
B000339,0.4725,MEDIUM,1,1,0,48,⚠️ Death record found
B000340,0.1125,LOW,0,1,0,84,✓ No major risk factors
B000341,0.10750000000000001,LOW,0,1,0,60,✓ No major risk factors
B000342,0.475,MEDIUM,0,0,0,111,⚠️ Aadhaar not verified | ⚠️ Centenarian (111 yrs)
B000343,0.0,,0,1,0,81,✓ No major risk factors
B000344,0.0,,0,1,0,97,✓ No major risk factors
B000345,0.27,LOW,0,0,0,83,⚠️ Aadhaar not verified
B000346,0.0,,0,1,0,80,✓ No major risk factors
B000347,0.0,,0,1,0,34,✓ No major risk factors
B000348,0.4725,MEDIUM,1,1,0,31,⚠️ Death record found
B000349,0.0,,0,1,0,64,✓ No major risk factors
B000350,0.0,,0,1,0,52,✓ No major risk factors
B000351,0.0,,0,1,0,57,✓ No major risk factors
B000352,0.0,,0,1,0,61,✓ No major risk factors
B000353,0.4725,MEDIUM,1,1,0,62,⚠️ Death record found
B000354,0.265,LOW,0,0,0,58,⚠️ Aadhaar not verified
B000355,0.0,,0,1,0,90,✓ No major risk factors
B000356,0.10750000000000001,LOW,0,1,0,81,✓ No major risk factors
B000357,0.0,,0,1,0,72,✓ No major risk factors
B000358,0.63,HIGH,1,0,0,94,⚠️ Death record found | ⚠️ Aadhaar not verified
B000359,0.265,LOW,0,0,0,90,⚠️ Aadhaar not verified
B000360,0.0,,0,1,0,75,✓ No major risk factors
B000361,0.63,HIGH,1,0,0,24,⚠️ Death record found | ⚠️ Aadhaar not verified
B000362,0.27,LOW,0,0,0,88,⚠️ Aadhaar not verified
B000363,0.265,LOW,0,0,0,32,⚠️ Aadhaar not verified
B000364,0.10750000000000001,LOW,0,1,0,55,✓ No major risk factors
B000365,0.0,,0,1,0,42,✓ No major risk factors
B000366,0.10750000000000001,LOW,0,1,0,80,✓ No major risk factors
B000367,0.0,,0,1,0,51,✓ No major risk factors
B000368,0.3675,MEDIUM,0,1,1,67,⚠️ Location mismatch
B000369,0.0,,0,1,0,73,✓ No major risk factors
B000370,0.63,HIGH,1,0,0,50,⚠️ Death record found | ⚠️ Aadhaar not verified
B000371,0.0,,0,1,0,71,✓ No major risk factors
B000372,0.10750000000000001,LOW,0,1,0,91,✓ No major risk factors
B000373,0.0,,0,1,0,56,✓ No major risk factors
B000374,0.475,MEDIUM,0,0,0,101,⚠️ Aadhaar not verified | ⚠️ Centenarian (101 yrs)
B000375,0.0,,0,1,0,62,✓ No major risk factors
B000376,0.10750000000000001,LOW,0,1,0,82,✓ No major risk factors
B000377,0.0,,0,1,0,63,✓ No major risk factors
B000378,0.10750000000000001,LOW,0,1,0,72,✓ No major risk factors
B000379,0.005000000000000001,LOW,0,1,0,43,✓ No major risk factors
B000380,0.0,,0,1,0,45,✓ No major risk factors
B000381,0.0,,0,1,0,79,✓ No major risk factors
B000382,0.4775,MEDIUM,1,1,0,56,⚠️ Death record found
B000383,0.4725,MEDIUM,1,1,0,68,⚠️ Death record found
B000384,0.0,,0,1,0,77,✓ No major risk factors
B000385,0.1575,LOW,0,0,0,60,⚠️ Aadhaar not verified
B000386,0.0,,0,1,0,56,✓ No major risk factors
B000387,0.0,,0,1,0,71,✓ No major risk factors
B000388,0.10750000000000001,LOW,0,1,0,75,✓ No major risk factors
B000389,0.0,,0,1,0,71,✓ No major risk factors
B000390,0.41750000000000004,MEDIUM,0,0,1,24,⚠️ Aadhaar not verified | ⚠️ Location mismatch
B000391,0.10750000000000001,LOW,0,1,0,56,✓ No major risk factors
B000392,0.0,,0,1,0,79,✓ No major risk factors
B000393,0.0,,0,1,0,56,✓ No major risk factors
B000394,0.3725,MEDIUM,0,0,0,105,⚠️ Aadhaar not verified | ⚠️ Centenarian (105 yrs)
B000395,0.4725,MEDIUM,1,1,0,72,⚠️ Death record found
B000396,0.0,,0,1,0,66,✓ No major risk factors
B000397,0.10750000000000001,LOW,0,1,0,83,✓ No major risk factors
B000398,0.0,,0,1,0,73,✓ No major risk factors
B000399,0.0,,0,1,0,33,✓ No major risk factors
B000400,0.0,,0,1,0,26,✓ No major risk factors
B000401,0.0,,0,1,0,62,✓ No major risk factors
B000402,0.10750000000000001,LOW,0,1,0,64,✓ No major risk factors
B000403,0.10750000000000001,LOW,0,1,0,72,✓ No major risk factors
B000404,0.10750000000000001,LOW,0,1,0,59,✓ No major risk factors
B000405,0.89,CRITICAL,1,0,1,69,⚠️ Death record found | ⚠️ Aadhaar not verified | ⚠️ Location mismatch | 🚨 High fraud probability
B000406,0.10750000000000001,LOW,0,1,0,37,✓ No major risk factors
B000407,0.0,,0,1,0,86,✓ No major risk factors
B000408,0.10750000000000001,LOW,0,1,0,47,✓ No major risk factors
B000409,0.0,,0,1,0,35,✓ No major risk factors
B000410,0.0,,0,1,0,38,✓ No major risk factors
B000411,0.1625,LOW,0,0,0,66,⚠️ Aadhaar not verified
B000412,0.5225,MEDIUM,1,0,0,71,⚠️ Death record found | ⚠️ Aadhaar not verified
B000413,0.1575,LOW,0,0,0,68,⚠️ Aadhaar not verified
B000414,0.005000000000000001,LOW,0,1,0,47,✓ No major risk factors
B000415,0.0,,0,1,0,46,✓ No major risk factors
