beneficiary_id,transaction_date,amount,status,payment_mode,location,is_fraudulent
B048762,2025-11-29,192.0,SUCCESS,Bank Transfer,Others,False
B044471,2025-02-13,283.0,SUCCESS,Bank Transfer,Others,False
B016610,2025-11-04,240.0,SUCCESS,Cash,Bihar,False
B016226,2026-01-06,223.84,SUCCESS,Post Office,Others,True
B033870,2025-09-15,238.0,SUCCESS,Post Office,Others,False
B017547,2025-08-17,314.0,SUCCESS,DBT,Others,False
B004850,2025-03-05,222.0,SUCCESS,Post Office,Tamil Nadu,False
B011830,2025-05-02,296.0,SUCCESS,Post Office,Andhra Pradesh,False
B031093,2026-02-23,100.0,FAILED,Post Office,Others,False
B027382,2025-07-26,332.0,SUCCESS,Cash,Andhra Pradesh,False
B018015,2025-10-04,193.0,SUCCESS,Bank Transfer,Uttar Pradesh,False
B010669,2024-12-14,353.0,SUCCESS,Post Office,Madhya Pradesh,False
B007559,2025-03-31,316.0,FAILED,Cash,Gujarat,False
B049819,2024-08-09,323.0,FAILED,Post Office,Andhra Pradesh,False
B030330,2025-08-01,260.0,SUCCESS,Cash,Others,False
B025610,2026-03-29,169.0,FAILED,DBT,Uttar Pradesh,False
B031185,2026-04-20,227.78,FAILED,Cash,Others,True
B018292,2025-12-18,120.0,SUCCESS,Bank Transfer,Others,False
B026806,2026-03-30,447.83,SUCCESS,Bank Transfer,Gujarat,True
B036943,2025-06-01,223.0,FAILED,Cash,Bihar,False
B018344,2025-08-09,182.0,SUCCESS,Cash,Rajasthan,False
B030369,2024-11-09,327.0,FAILED,DBT,Gujarat,False
B003323,2024-06-20,232.0,SUCCESS,DBT,Others,False
B041654,2025-12-15,279.0,SUCCESS,Bank Transfer,Others,False
B003161,2025-10-09,208.0,FAILED,DBT,Maharashtra,False
B034032,2025-11-01,338.0,SUCCESS,Cash,Uttar Pradesh,False
B040600,2024-09-24,205.0,SUCCESS,Post Office,Bihar,False
B010658,2025-08-01,247.0,SUCCESS,Bank Transfer,West Bengal,False
B010143,2025-12-11,215.0,SUCCESS,Cash,Others,False
B005480,2025-07-23,283.0,SUCCESS,Post Office,Rajasthan,False
B016185,2024-11-08,189.0,SUCCESS,DBT,West Bengal,False
B048110,2026-05-27,220.0,FAILED,Bank Transfer,Others,False
B033907,2026-04-01,339.69,FAILED,Bank Transfer,Uttar Pradesh,True
B044204,2025-12-10,84.26,SUCCESS,Cash,Maharashtra,True
B000522,2025-04-18,202.0,SUCCESS,Cash,West Bengal,False
B023162,2024-11-15,233.0,SUCCESS,Bank Transfer,Uttar Pradesh,False
B024692,2025-07-23,222.0,SUCCESS,Cash,Andhra Pradesh,False
B025370,2026-05-10,237.0,FAILED,Bank Transfer,Tamil Nadu,False
B040520,2026-03-14,238.0,FAILED,Cash,Others,False
B035334,2025-12-08,312.62,FAILED,Post Office,Uttar Pradesh,True
B003021,2025-09-13,100.0,SUCCESS,Bank Transfer,Bihar,False
B007517,2025-05-17,188.43,FAILED,Bank Transfer,Uttar Pradesh,True
B019473,2026-02-15,284.0,SUCCESS,DBT,Karnataka,False
B037194,2025-02-04,177.78,FAILED,Cash,Others,True
B021281,2025-02-04,209.0,FAILED,Cash,Bihar,False
B025861,2026-02-17,250.0,SUCCESS,Cash,Others,False
B026410,2025-10-27,177.0,SUCCESS,Cash,Others,False
B029744,2024-11-10,346.0,SUCCESS,Bank Transfer,West Bengal,False
B049136,2026-02-25,113.6,SUCCESS,Cash,Bihar,True
B038318,2024-08-21,328.0,SUCCESS,DBT,Tamil Nadu,False
B013299,2025-06-08,267.2,FAILED,Post Office,Others,True
B015650,2024-12-04,257.75,FAILED,Cash,Bihar,True
B028477,2024-12-15,224.0,SUCCESS,DBT,Uttar Pradesh,False
B047024,2026-01-18,310.0,SUCCESS,DBT,Karnataka,False
B041252,2025-10-26,100.0,FAILED,DBT,Others,False
B002138,2025-04-22,100.0,SUCCESS,DBT,Others,False
B039896,2026-04-14,253.0,SUCCESS,Cash,Others,False
B049788,2025-08-27,245.0,FAILED,Post Office,Bihar,False
B020355,2025-04-18,311.0,SUCCESS,Post Office,Others,False
B024896,2025-01-19,301.0,SUCCESS,DBT,Others,False
B036388,2025-03-15,170.0,SUCCESS,Cash,Rajasthan,False
B039392,2026-02-18,191.14,FAILED,DBT,Others,True
B019917,2026-01-22,100.0,SUCCESS,Cash,Uttar Pradesh,False
B013772,2024-11-07,206.0,SUCCESS,Post Office,Rajasthan,False
B042318,2025-05-12,207.0,SUCCESS,Bank Transfer,Madhya Pradesh,False
B006820,2025-09-17,177.0,SUCCESS,Post Office,Bihar,False
B006767,2025-12-02,258.0,FAILED,Bank Transfer,Others,False
B000469,2024-09-30,228.0,SUCCESS,DBT,Maharashtra,False
B000403,2025-04-27,192.0,SUCCESS,DBT,Tamil Nadu,False
B017970,2025-01-18,226.0,FAILED,Cash,Uttar Pradesh,False
B009490,2025-03-08,228.0,FAILED,Cash,Others,False
B047605,2025-07-31,229.0,SUCCESS,Bank Transfer,Bihar,False
B013615,2024-08-28,151.0,SUCCESS,Cash,Others,False
B046531,2026-05-22,162.0,FAILED,Bank Transfer,Uttar Pradesh,False
B005845,2025-04-09,100.0,SUCCESS,DBT,Rajasthan,False
B032697,2024-09-12,324.0,SUCCESS,Post Office,Tamil Nadu,False
B025516,2025-02-21,317.28,FAILED,Cash,Rajasthan,True
B032403,2026-02-10,105.0,FAILED,DBT,Bihar,False
B030693,2025-08-18,116.44,SUCCESS,Bank Transfer,Tamil Nadu,True
B020098,2025-08-14,191.0,SUCCESS,DBT,Maharashtra,False
B043663,2025-07-18,208.0,FAILED,DBT,Rajasthan,False
B038134,2024-08-28,112.04,FAILED,Cash,Rajasthan,True
B049794,2026-02-16,369.0,FAILED,Cash,Uttar Pradesh,False
B022344,2024-10-19,274.0,SUCCESS,Cash,Gujarat,False
B025615,2026-04-22,255.0,SUCCESS,Bank Transfer,Others,False
B042052,2025-03-16,310.0,SUCCESS,Bank Transfer,Uttar Pradesh,False
B008967,2024-11-15,287.0,SUCCESS,DBT,Uttar Pradesh,False
B012147,2025-01-18,92.21,SUCCESS,Cash,Uttar Pradesh,True
B018130,2025-06-21,177.0,SUCCESS,Post Office,Tamil Nadu,False
B029938,2025-10-20,316.0,SUCCESS,Post Office,Tamil Nadu,False
B031349,2025-08-03,193.0,FAILED,DBT,Gujarat,False
B040159,2025-12-21,196.0,SUCCESS,Cash,Bihar,False
B003814,2025-03-07,100.0,SUCCESS,DBT,Others,False
B046600,2025-08-19,224.0,SUCCESS,DBT,Others,False
B001937,2024-11-02,174.0,SUCCESS,DBT,Andhra Pradesh,False
B035498,2025-04-18,221.0,SUCCESS,DBT,Karnataka,False
B022734,2025-11-12,204.0,SUCCESS,Cash,Tamil Nadu,False
B020002,2024-12-26,254.0,SUCCESS,Post Office,Others,False
B001899,2024-07-26,312.0,SUCCESS,Cash,Uttar Pradesh,False
B015181,2025-10-07,193.0,SUCCESS,DBT,Rajasthan,False
B039283,2025-12-25,288.0,SUCCESS,Cash,Others,False
B011464,2024-12-07,156.97,SUCCESS,Bank Transfer,Others,True
B003083,2026-05-24,351.0,FAILED,Cash,Uttar Pradesh,False
B002539,2025-09-04,213.0,FAILED,Post Office,Uttar Pradesh,False
B025408,2026-01-24,207.0,FAILED,Post Office,Uttar Pradesh,False
B005256,2024-08-20,214.0,FAILED,Post Office,Others,False
B047856,2025-07-18,218.0,SUCCESS,Cash,West Bengal,False
B033462,2024-10-31,184.0,SUCCESS,Bank Transfer,Others,False
B034405,2026-02-20,281.0,SUCCESS,Bank Transfer,Uttar Pradesh,False
B015318,2025-07-01,300.0,SUCCESS,Cash,Others,False
B025928,2024-08-01,427.0,FAILED,Post Office,Maharashtra,False
B000130,2026-01-28,302.49,SUCCESS,Bank Transfer,West Bengal,True
B017889,2025-07-15,273.0,SUCCESS,Cash,Others,False
B023473,2025-04-05,353.0,SUCCESS,Bank Transfer,Bihar,False
B001439,2025-01-28,248.0,FAILED,DBT,Karnataka,False
B044269,2025-11-04,270.0,SUCCESS,DBT,Bihar,False
B020664,2025-10-13,286.0,SUCCESS,DBT,Uttar Pradesh,False
B008580,2026-02-20,250.0,FAILED,DBT,Andhra Pradesh,False
B023710,2026-04-12,215.0,SUCCESS,Cash,Rajasthan,False
B029600,2024-08-29,192.0,FAILED,DBT,West Bengal,False
B033488,2025-09-22,104.0,FAILED,Post Office,Bihar,False
B001261,2026-04-24,214.0,SUCCESS,Bank Transfer,Others,False
B047511,2024-09-02,293.0,SUCCESS,Post Office,Karnataka,False
B029847,2025-10-23,196.0,SUCCESS,Post Office,Maharashtra,False
B021912,2024-08-18,291.0,SUCCESS,Post Office,Others,False
B042406,2025-07-15,240.0,SUCCESS,Bank Transfer,Uttar Pradesh,False
B030237,2025-07-24,300.0,SUCCESS,Post Office,Others,False
B037957,2026-02-13,246.0,SUCCESS,Cash,West Bengal,False
B015085,2026-03-17,196.0,SUCCESS,DBT,Karnataka,False
B046493,2025-09-21,213.0,SUCCESS,DBT,Tamil Nadu,False
B027293,2024-09-13,325.0,FAILED,Cash,Madhya Pradesh,False
B043606,2025-02-06,220.0,SUCCESS,Post Office,West Bengal,False
B003637,2026-03-02,184.0,SUCCESS,Cash,West Bengal,False
B013818,2025-03-27,283.8,FAILED,Post Office,Madhya Pradesh,True
B036609,2024-07-06,100.0,SUCCESS,DBT,Karnataka,False
B023259,2026-02-12,100.0,FAILED,Post Office,Maharashtra,False
B032851,2024-11-06,310.0,FAILED,Cash,Andhra Pradesh,False
B042507,2025-09-21,165.0,SUCCESS,Bank Transfer,Uttar Pradesh,False
B032685,2026-02-18,195.0,SUCCESS,Bank Transfer,Others,False
B006021,2025-08-31,237.0,SUCCESS,DBT,Others,False
B049397,2026-01-04,282.0,SUCCESS,Bank Transfer,Bihar,False
B005169,2025-10-28,183.09,SUCCESS,Bank Transfer,Rajasthan,True
B010410,2024-08-28,231.0,FAILED,DBT,Others,False
B029261,2024-07-01,321.76,SUCCESS,Cash,Rajasthan,True
B028551,2026-05-05,351.0,SUCCESS,DBT,Maharashtra,False
B035669,2025-08-02,312.0,SUCCESS,Cash,Karnataka,False
B030046,2024-12-14,285.16,SUCCESS,Cash,Others,True
B002276,2025-11-20,322.0,SUCCESS,DBT,Uttar Pradesh,False
B029986,2026-01-15,225.0,SUCCESS,Cash,Uttar Pradesh,False
B032035,2025-04-22,183.0,FAILED,DBT,Tamil Nadu,False
B014059,2025-01-30,255.0,FAILED,Bank Transfer,Uttar Pradesh,False
B028587,2024-11-18,320.0,FAILED,Post Office,Madhya Pradesh,False
B029158,2025-09-05,201.0,FAILED,Bank Transfer,Uttar Pradesh,False
B044470,2025-12-06,160.67,SUCCESS,Bank Transfer,Rajasthan,True
B036673,2025-03-28,360.0,SUCCESS,Cash,Tamil Nadu,False
B008503,2024-06-13,194.0,SUCCESS,DBT,Others,False
B029285,2026-03-06,215.0,FAILED,Post Office,Maharashtra,False
B026268,2025-07-23,222.0,SUCCESS,Cash,Uttar Pradesh,False
B025504,2024-09-28,215.0,SUCCESS,Post Office,Uttar Pradesh,False
B038419,2024-10-14,358.43,FAILED,Cash,Madhya Pradesh,True
B036146,2025-05-11,218.87,FAILED,DBT,Bihar,True
B018391,2024-12-13,174.4,FAILED,Bank Transfer,Andhra Pradesh,True
B038258,2025-10-25,214.0,SUCCESS,Post Office,Others,False
B006143,2026-02-16,186.0,FAILED,Post Office,Others,False
B043848,2024-07-31,208.0,SUCCESS,Bank Transfer,Karnataka,False
B004230,2025-06-10,243.0,SUCCESS,Bank Transfer,Rajasthan,False
B045354,2025-08-08,215.0,SUCCESS,Post Office,Others,False
B014201,2025-09-01,322.0,SUCCESS,Cash,Uttar Pradesh,False
B026025,2025-08-02,236.0,SUCCESS,Post Office,Others,False
B013544,2025-06-10,205.0,FAILED,Post Office,Maharashtra,False
B046278,2025-04-03,211.0,FAILED,Bank Transfer,Bihar,False
B038631,2025-03-29,201.0,FAILED,DBT,Uttar Pradesh,False
B013816,2025-06-07,326.0,SUCCESS,DBT,Uttar Pradesh,False
B032198,2025-03-31,188.0,SUCCESS,Cash,Others,False
B029897,2025-10-15,113.19,SUCCESS,Cash,West Bengal,True
B044231,2026-05-20,245.74,FAILED,Cash,Others,True
B008276,2024-12-17,191.0,FAILED,Cash,West Bengal,False
B005696,2025-07-08,110.0,SUCCESS,DBT,Maharashtra,False
B015290,2024-10-15,239.0,SUCCESS,Post Office,Uttar Pradesh,False
B009966,2024-08-19,267.0,SUCCESS,Post Office,Maharashtra,False
B047597,2025-07-13,287.0,SUCCESS,Cash,West Bengal,False
B007161,2024-07-19,282.0,SUCCESS,Cash,Gujarat,False
B040591,2026-02-12,239.0,SUCCESS,Cash,Madhya Pradesh,False
B009946,2024-07-30,312.0,SUCCESS,Cash,Uttar Pradesh,False
B021884,2024-10-04,326.0,SUCCESS,Cash,Andhra Pradesh,False
B035269,2026-01-07,192.9,SUCCESS,DBT,Others,True
B044471,2025-01-08,283.0,SUCCESS,Post Office,Others,False
B020940,2026-04-20,288.0,SUCCESS,Post Office,Bihar,False
B009958,2025-03-11,220.0,SUCCESS,Cash,Gujarat,False
B045803,2024-07-28,252.0,SUCCESS,Bank Transfer,Andhra Pradesh,False
B017105,2025-10-29,152.0,SUCCESS,DBT,Karnataka,False
B032920,2026-03-27,191.0,SUCCESS,Bank Transfer,Bihar,False
B038648,2024-07-25,243.0,SUCCESS,DBT,Rajasthan,False
B043771,2025-09-14,225.0,SUCCESS,Cash,Others,False
B040511,2025-11-20,100.0,SUCCESS,Cash,Uttar Pradesh,False
B008391,2024-12-18,94.06,SUCCESS,Post Office,Maharashtra,True
B000023,2024-12-01,165.84,FAILED,Post Office,Uttar Pradesh,True
B000651,2025-02-23,222.0,SUCCESS,Bank Transfer,Maharashtra,False
B012566,2024-07-02,241.0,SUCCESS,DBT,Gujarat,False
B026102,2024-06-24,262.0,SUCCESS,Cash,West Bengal,False
B023788,2025-06-20,197.0,SUCCESS,Bank Transfer,Others,False
B020377,2026-04-04,185.0,SUCCESS,Bank Transfer,Tamil Nadu,False
B022748,2024-11-15,361.36,FAILED,DBT,Others,True
B015332,2026-05-07,242.0,SUCCESS,Post Office,Madhya Pradesh,False
B018577,2026-01-03,216.0,SUCCESS,Bank Transfer,Others,False
B007158,2024-08-11,224.47,SUCCESS,DBT,Others,True
B024406,2026-01-23,207.94,SUCCESS,DBT,West Bengal,True
B037646,2024-08-09,258.0,FAILED,Post Office,Others,False
B038546,2026-05-02,265.0,SUCCESS,Cash,Others,False
B029573,2025-08-27,259.0,SUCCESS,Cash,Rajasthan,False
B041659,2026-01-17,256.35,SUCCESS,Cash,Karnataka,True
B038099,2025-05-20,243.0,SUCCESS,Cash,Madhya Pradesh,False
B030732,2025-03-23,166.0,SUCCESS,Bank Transfer,Others,False
B011568,2026-05-14,269.0,SUCCESS,DBT,Others,False
B001440,2024-11-17,312.0,SUCCESS,Post Office,Uttar Pradesh,False
B030590,2025-06-10,206.53,SUCCESS,DBT,Uttar Pradesh,True
B040493,2026-04-08,100.0,SUCCESS,Cash,Others,False
B008494,2025-11-20,243.0,SUCCESS,Cash,Madhya Pradesh,False
B007732,2024-11-16,204.0,SUCCESS,Bank Transfer,Others,False
B029646,2025-08-01,265.0,SUCCESS,Cash,Others,False
B020594,2025-08-22,176.0,SUCCESS,Bank Transfer,Uttar Pradesh,False
B043028,2024-06-26,232.0,FAILED,Cash,Maharashtra,False
B022953,2024-12-29,316.0,FAILED,DBT,Others,False
B029581,2025-05-15,150.11,SUCCESS,Cash,Uttar Pradesh,True
B038189,2025-01-24,191.0,SUCCESS,Post Office,Others,False
B017337,2024-07-31,188.0,FAILED,DBT,Andhra Pradesh,False
B002963,2026-01-04,216.0,SUCCESS,Post Office,Uttar Pradesh,False
B033453,2024-12-05,227.0,FAILED,Post Office,West Bengal,False
B005256,2024-07-03,214.0,FAILED,Post Office,Others,False
B009337,2024-10-15,286.09,SUCCESS,DBT,Tamil Nadu,True
B009541,2025-02-11,254.0,SUCCESS,Post Office,Uttar Pradesh,False
B041004,2026-05-12,231.0,SUCCESS,Bank Transfer,Uttar Pradesh,False
B038014,2026-01-15,243.0,SUCCESS,Bank Transfer,Others,False
B043588,2026-01-04,101.0,FAILED,DBT,Others,False
B013901,2026-05-15,268.0,FAILED,Cash,Karnataka,False
B004994,2026-05-02,210.0,FAILED,DBT,Madhya Pradesh,False
B009457,2024-10-01,227.0,FAILED,Bank Transfer,Others,False
B020546,2025-09-01,271.64,SUCCESS,Bank Transfer,Others,True
B040260,2026-04-23,178.0,SUCCESS,Post Office,Uttar Pradesh,False
B022060,2025-09-28,418.47,FAILED,DBT,West Bengal,True
B048803,2024-07-21,189.0,FAILED,Post Office,Uttar Pradesh,False
B034164,2026-04-16,280.0,SUCCESS,Cash,Others,False
B030083,2026-03-24,262.0,SUCCESS,DBT,Uttar Pradesh,False
B003164,2024-09-16,313.0,SUCCESS,Cash,Uttar Pradesh,False
B036098,2025-07-23,200.0,SUCCESS,Post Office,Others,False
B043742,2025-11-18,215.0,SUCCESS,Cash,Others,False
B047573,2025-10-21,261.0,FAILED,DBT,West Bengal,False
B023710,2024-09-28,215.0,SUCCESS,Post Office,Rajasthan,False
B002417,2024-09-02,315.0,SUCCESS,DBT,Maharashtra,False
B036333,2026-05-28,108.01,SUCCESS,Cash,Others,True
B046522,2024-12-31,377.52,SUCCESS,Post Office,Others,True
B016533,2026-03-09,236.0,SUCCESS,Bank Transfer,Others,False
B032196,2024-12-30,241.44,FAILED,Post Office,Bihar,True
B025403,2026-03-18,281.0,FAILED,Cash,Gujarat,False
B001471,2025-01-24,187.0,SUCCESS,Post Office,Gujarat,False
B014808,2025-10-18,192.64,FAILED,DBT,Maharashtra,True
B039055,2024-12-28,175.0,FAILED,Bank Transfer,Gujarat,False
B040981,2024-09-04,190.0,SUCCESS,Post Office,Others,False
B016761,2025-08-01,285.0,SUCCESS,Post Office,Madhya Pradesh,False
B033554,2026-01-31,124.0,SUCCESS,Cash,Others,False
B048863,2024-12-27,229.0,SUCCESS,Cash,Maharashtra,False
B004758,2025-03-08,230.0,FAILED,Bank Transfer,Madhya Pradesh,False
B016081,2024-09-23,103.0,SUCCESS,DBT,Madhya Pradesh,False
B036909,2025-12-02,272.07,SUCCESS,DBT,Bihar,True
B032673,2025-05-20,298.0,SUCCESS,Cash,West Bengal,False
B026507,2025-05-15,177.0,SUCCESS,Post Office,Rajasthan,False
B027824,2024-07-20,224.0,FAILED,Bank Transfer,Others,False
B049354,2024-12-07,285.0,FAILED,DBT,Rajasthan,False
B032522,2026-03-21,298.0,SUCCESS,DBT,Others,False
B019717,2025-05-15,277.0,FAILED,Cash,Gujarat,False
B038039,2024-09-03,355.0,SUCCESS,DBT,Others,False
B048917,2024-12-10,182.0,SUCCESS,Cash,Andhra Pradesh,False
B042815,2024-08-18,271.0,FAILED,Cash,West Bengal,False
B037149,2024-12-15,299.0,SUCCESS,Post Office,Madhya Pradesh,False
B004296,2025-01-31,214.0,SUCCESS,Bank Transfer,Bihar,False
B043260,2025-04-20,267.0,FAILED,Post Office,Others,False
B010123,2025-12-17,242.14,FAILED,Cash,Others,True
B028049,2026-05-04,254.0,FAILED,DBT,Bihar,False
B045678,2025-04-15,185.0,FAILED,Cash,Karnataka,False
B014064,2024-08-31,236.0,FAILED,Cash,Karnataka,False
B029130,2025-11-27,196.0,SUCCESS,DBT,Others,False
B038548,2026-02-01,284.0,SUCCESS,Post Office,Gujarat,False
B029381,2024-11-06,230.0,SUCCESS,DBT,Madhya Pradesh,False
B043458,2025-12-09,103.0,SUCCESS,Post Office,Maharashtra,False
B047497,2025-05-24,269.0,SUCCESS,Bank Transfer,Others,False
B009672,2024-10-17,235.0,SUCCESS,Post Office,Others,False
B021634,2025-03-05,208.0,SUCCESS,DBT,Madhya Pradesh,False
B032378,2024-08-15,190.0,SUCCESS,Bank Transfer,Karnataka,False
B009910,2025-04-22,220.0,SUCCESS,Cash,Karnataka,False
B000174,2024-12-10,187.0,SUCCESS,Post Office,Andhra Pradesh,False
B001415,2025-03-04,215.0,FAILED,Cash,Tamil Nadu,False
B008784,2025-08-11,195.0,SUCCESS,Post Office,Others,False
B000916,2024-12-27,120.0,SUCCESS,DBT,Others,False
B005457,2024-07-10,211.0,FAILED,Post Office,Uttar Pradesh,False
B044528,2025-03-05,223.75,SUCCESS,DBT,Tamil Nadu,True
B028740,2024-07-30,222.0,FAILED,DBT,Uttar Pradesh,False
B014363,2024-07-11,281.0,SUCCESS,Cash,Gujarat,False
B015184,2025-05-12,291.09,SUCCESS,DBT,Bihar,True
B006668,2025-04-28,259.3,SUCCESS,Post Office,Maharashtra,True
B040929,2026-05-23,297.0,FAILED,DBT,Others,False
B028509,2024-07-14,254.0,FAILED,DBT,Others,False
B034832,2024-09-10,222.0,FAILED,Post Office,Karnataka,False
B019963,2026-01-20,304.0,FAILED,Cash,Maharashtra,False
B000182,2026-05-03,202.0,SUCCESS,Cash,Maharashtra,False
B027538,2026-01-28,263.0,SUCCESS,DBT,Others,False
B041786,2025-05-07,265.0,SUCCESS,DBT,Gujarat,False
B016527,2025-09-18,187.0,SUCCESS,Post Office,Maharashtra,False
B017943,2025-01-04,276.0,SUCCESS,Cash,Others,False
B038344,2025-06-10,179.0,FAILED,Post Office,Maharashtra,False
B040938,2024-08-24,157.0,SUCCESS,Bank Transfer,Uttar Pradesh,False
B038034,2025-05-29,317.68,FAILED,DBT,Others,True
B022898,2026-03-29,242.0,FAILED,Cash,Others,False
B026067,2024-09-28,192.0,SUCCESS,DBT,Andhra Pradesh,False
B014406,2025-07-18,232.6,SUCCESS,Bank Transfer,Bihar,True
B049824,2025-02-02,186.0,SUCCESS,DBT,Uttar Pradesh,False
B018485,2025-11-25,200.0,FAILED,Cash,West Bengal,False
B013544,2025-09-07,205.0,SUCCESS,Bank Transfer,Maharashtra,False
B026568,2025-07-09,268.0,SUCCESS,Bank Transfer,Others,False
B037956,2025-06-02,178.55,SUCCESS,Bank Transfer,Uttar Pradesh,True
B029518,2024-06-16,240.0,FAILED,Post Office,Bihar,False
B046239,2025-06-06,354.68,SUCCESS,Bank Transfer,Karnataka,True
B001983,2025-02-09,225.0,SUCCESS,DBT,Bihar,False
B014679,2025-05-27,195.9,SUCCESS,DBT,Andhra Pradesh,True
B029830,2025-08-06,192.0,SUCCESS,Cash,Uttar Pradesh,False
B038545,2026-05-13,181.0,SUCCESS,Bank Transfer,Karnataka,False
B007716,2025-04-24,234.0,SUCCESS,Cash,Others,False
B048086,2026-04-18,338.77,SUCCESS,Cash,Bihar,True
B018448,2025-04-25,225.0,SUCCESS,Bank Transfer,Others,False
B017452,2025-03-19,185.0,SUCCESS,Cash,Uttar Pradesh,False
B033368,2024-09-09,259.0,SUCCESS,Post Office,Bihar,False
B008446,2025-03-19,200.0,SUCCESS,DBT,Bihar,False
B038118,2024-09-10,241.0,SUCCESS,Post Office,Maharashtra,False
B044472,2025-06-28,100.0,SUCCESS,DBT,Bihar,False
B004841,2025-12-25,320.0,SUCCESS,Bank Transfer,Bihar,False
B022681,2024-10-23,259.0,FAILED,Bank Transfer,Bihar,False
B029350,2025-01-06,209.0,SUCCESS,Post Office,Others,False
B030583,2024-06-28,203.0,SUCCESS,Cash,Maharashtra,False
B013459,2025-07-14,210.0,SUCCESS,Cash,Others,False
B041227,2024-11-07,205.0,FAILED,DBT,Uttar Pradesh,False
B007240,2025-07-14,175.0,SUCCESS,Bank Transfer,Andhra Pradesh,False
B007799,2026-01-03,364.0,FAILED,Post Office,Others,False
B035468,2025-06-25,103.0,SUCCESS,DBT,Uttar Pradesh,False
B036687,2025-02-07,196.0,SUCCESS,Bank Transfer,Maharashtra,False
B012288,2024-10-09,287.0,SUCCESS,Post Office,Uttar Pradesh,False
B034358,2025-01-23,250.0,SUCCESS,Bank Transfer,Rajasthan,False
B029827,2025-07-19,192.0,SUCCESS,Cash,Others,False
B007798,2024-12-26,309.0,SUCCESS,Post Office,Bihar,False
B034101,2025-02-20,100.0,FAILED,DBT,Maharashtra,False
B004895,2025-09-07,264.0,SUCCESS,Bank Transfer,Andhra Pradesh,False
B028256,2025-06-24,321.0,FAILED,Bank Transfer,Bihar,False
B017727,2026-02-04,195.0,FAILED,DBT,Tamil Nadu,False
B020919,2025-04-05,238.0,SUCCESS,Cash,Uttar Pradesh,False
B043482,2024-07-15,220.31,SUCCESS,Bank Transfer,Others,True
B015547,2024-09-20,189.3,FAILED,Bank Transfer,Madhya Pradesh,True
B028869,2026-01-20,293.0,SUCCESS,Bank Transfer,West Bengal,False
B017503,2024-07-17,191.0,SUCCESS,Cash,Others,False
B032893,2025-05-30,215.0,FAILED,Post Office,Others,False
B015062,2025-01-20,255.0,SUCCESS,DBT,Rajasthan,False
B025933,2025-02-16,274.0,SUCCESS,Bank Transfer,Others,False
B045093,2025-10-29,205.0,SUCCESS,DBT,Karnataka,False
B011241,2025-04-17,302.07,SUCCESS,Post Office,Uttar Pradesh,True
B011731,2025-08-21,119.0,SUCCESS,Bank Transfer,Madhya Pradesh,False
B031392,2025-03-14,108.0,SUCCESS,Post Office,Gujarat,False
B027317,2025-01-29,255.0,FAILED,Bank Transfer,Uttar Pradesh,False
B019147,2024-12-06,256.0,FAILED,Bank Transfer,Bihar,False
B025768,2026-05-24,257.0,SUCCESS,Cash,Maharashtra,False
B018132,2024-08-05,205.0,SUCCESS,Post Office,Rajasthan,False
B023827,2025-12-04,212.0,SUCCESS,Post Office,Madhya Pradesh,False
B011152,2025-08-20,211.0,SUCCESS,Post Office,Gujarat,False
B025900,2024-08-16,176.0,SUCCESS,Cash,Uttar Pradesh,False
B048334,2025-01-03,173.0,SUCCESS,Bank Transfer,Karnataka,False
B018155,2024-11-16,190.0,FAILED,Cash,Others,False
